Brand,Paid Search,Desktop,India,Bing,2804,4617.6
Brand,Paid Search,Desktop,Italy,Google,23833,16367.8
Brand,Paid Search,Desktop,Japan,Google,4018,4008.6
Brand,Paid Search,Desktop,Korea,Google,5176,7893.8
Brand,Paid Search,Desktop,Russia,Google,14705,13185.8
Brand,Paid Search,Desktop,South Africa,Bing,6018,4229.9
Brand,Paid Search,Desktop,Sweden,Bing,586,464.8
Brand,Paid Search,Desktop,Vietnam,Bing,146,133.0
Brand,Paid Search,Mobile,Brazil,Google,7155,10256.6
Brand,Paid Search,Mobile,China,Google,3644,3627.5
Brand,Paid Search,Mobile,Singapore,Google,7128,5694.4
Brand,Paid Search,Mobile,United Kingdom,Google,66393,51838.6
Brand,Paid Search,Mobile,United States,Bing,6011,18739.9
Brand,Paid Search,Tablet,Brazil,Google,877,924.9
Brand,Paid Search,Tablet,India,Bing,6,118.3
Brand,Paid Search,Tablet,Indonesia,Google,642,792.6
Brand,Paid Search,Tablet,Italy,Google,1202,907.9
Brand,Paid Search,Tablet,Japan,Bing,516,361.8
Brand,Paid Search,Tablet,Korea,Bing,187,150.2
Brand,Paid Search,Tablet,Philippines,Bing,2,2.3
Brand,Paid Search,Tablet,Switzerland,Google,97,164.6
Brand,Paid Search,Tablet,United Kingdom,Google,36237,44003.0
Brand,Paid Search,Tablet,United States,Bing,3535,3904.1
Brand,Paid Search,Unknown,United States,Bing,0,1661.6
Non-Brand,Paid Search,Desktop,Finland,Google,1968,3284.6
Non-Brand,Paid Search,Desktop,Japan,Bing,45,11393.0
Non-Brand,Paid Search,Desktop,Korea,Bing,57,1306.4
Non-Brand,Paid Search,Desktop,Portugal,Google,49081,47906.5
Non-Brand,Paid Search,Desktop,Switzerland,Google,150,2096.0
Non-Brand,Paid Search,Mobile,Australia,Google,7217,10740.6
Non-Brand,Paid Search,Mobile,Brazil,Bing,13137,7915.0
Non-Brand,Paid Search,Mobile,Indonesia,Bing,1384,1108.9
Non-Brand,Paid Search,Mobile,Korea,Google,7718,5731.8
Non-Brand,Paid Search,Mobile,Philippines,Google,18182,11509.5
Non-Brand,Paid Search,Mobile,Turkey,Google,11782,12325.9
Non-Brand,Paid Search,Mobile,United Kingdom,Bing,2282,10550.4
Non-Brand,Paid Search,Mobile,Vietnam,Google,5372,3044.9
Non-Brand,Paid Search,Tablet,Finland,Google,127,309.3
Non-Brand,Paid Search,Tablet,Italy,Bing,15,23.5
Non-Brand,Paid Search,Tablet,Russia,Bing,7,62.1
Non-Brand,Paid Search,Tablet,Thailand,Google,408,434.5
Non-Brand,Paid Search,Tablet,Turkey,Google,1356,3966.0
Non-Brand,Paid Search,Tablet,United States,Google,19890,46918.5
Brand,Paid Search,Desktop,Asia and Pacific,Bing,57,683.6
Brand,Paid Search,Desktop,Australia,Google,273023,128084.2
Brand,Paid Search,Desktop,Norway,Bing,712,400.7
Brand,Paid Search,Desktop,Rest of World,Google,369007,366720.6
Brand,Paid Search,Desktop,Spain,Bing,16558,64753.1
Brand,Paid Search,Desktop,United Kingdom,Bing,30728,91071.1
Brand,Paid Search,Mobile,Finland,Google,1811,1844.0
Brand,Paid Search,Mobile,Germany,Google,10495,7999.5
Brand,Paid Search,Mobile,Norway,Google,2141,1940.2
Brand,Paid Search,Mobile,Portugal,Google,4562,9300.8
Brand,Paid Search,Mobile,Rest of World,Bing,2824,4395.8
Brand,Paid Search,Mobile,Thailand,Bing,9,159.4
Brand,Paid Search,Tablet,Australia,Bing,207,183.4
Brand,Paid Search,Tablet,China,Google,460,433.2
Brand,Paid Search,Tablet,Denmark,Google,2508,2144.2
Brand,Paid Search,Tablet,France,Bing,124,175.8
Brand,Paid Search,Tablet,Malaysia,Bing,7,34.7
Brand,Paid Search,Tablet,Netherlands,Bing,30,22.8
Brand,Paid Search,Tablet,Portugal,Google,1000,730.2
Brand,Paid Search,Tablet,South Africa,Google,1707,1463.5
Non-Brand,Paid Search,Desktop,Australia,Bing,4183,18293.3
Non-Brand,Paid Search,Desktop,Brazil,Google,66829,49209.3
Non-Brand,Paid Search,Desktop,China,Google,5956,9143.2
Non-Brand,Paid Search,Desktop,Denmark,Google,11837,21950.7
Non-Brand,Paid Search,Desktop,Germany,Google,32387,27773.4
Non-Brand,Paid Search,Desktop,Malaysia,Bing,1545,1153.5
Non-Brand,Paid Search,Desktop,Norway,Google,2580,3965.1
Non-Brand,Paid Search,Desktop,Rest of World,Bing,35620,85204.5
Non-Brand,Paid Search,Desktop,Singapore,Google,7287,10113.0
Non-Brand,Paid Search,Desktop,Thailand,Bing,730,264.8
Non-Brand,Paid Search,Desktop,Turkey,Bing,52,2114.1
Non-Brand,Paid Search,Desktop,United Kingdom,Google,106864,87648.8
Non-Brand,Paid Search,Desktop,United States,Bing,41617,190026.1
Non-Brand,Paid Search,Mobile,Canada,Bing,572,498.2
Non-Brand,Paid Search,Mobile,France,Google,10422,10988.0
Non-Brand,Paid Search,Mobile,Hindi,Google,976,937.2
Non-Brand,Paid Search,Mobile,India,Google,58325,43535.9
Non-Brand,Paid Search,Mobile,Japan,Google,1105,1097.0
Non-Brand,Paid Search,Mobile,Malaysia,Google,13543,10304.3
Non-Brand,Paid Search,Mobile,Netherlands,Google,3856,3624.2
Non-Brand,Paid Search,Mobile,Portugal,Bing,28,21.7
Non-Brand,Paid Search,Mobile,Russia,Bing,60,60.0
Non-Brand,Paid Search,Tablet,Asia and Pacific,Google,205,226.1
Non-Brand,Paid Search,Tablet,France,Google,2757,3114.1
Non-Brand,Paid Search,Tablet,Germany,Google,2065,2072.7
Non-Brand,Paid Search,Tablet,Netherlands,Google,1912,2067.5
Non-Brand,Paid Search,Tablet,Norway,Google,147,286.8
Non-Brand,Paid Search,Tablet,Rest of World,Bing,1439,4857.1
Non-Brand,Paid Search,Tablet,Singapore,Google,357,478.5
Non-Brand,Paid Search,Tablet,Sweden,Google,810,965.8
Brand,Paid Search,Desktop,Australia,Bing,37780,51225.2
Brand,Paid Search,Desktop,Canada,Bing,39039,55360.8
Brand,Paid Search,Desktop,Finland,Google,5385,5102.2
Brand,Paid Search,Desktop,Germany,Google,68266,39718.6
Brand,Paid Search,Desktop,Italy,Bing,1910,1582.0
Brand,Paid Search,Desktop,Norway,Google,11674,7331.1
Brand,Paid Search,Desktop,Singapore,Google,27702,18682.6
Brand,Paid Search,Desktop,South Africa,Google,33092,23862.6
Brand,Paid Search,Desktop,Sweden,Google,21785,16102.2
Brand,Paid Search,Mobile,Arabic,Google,3869,4458.5
Brand,Paid Search,Mobile,Canada,Google,21361,12734.4
Brand,Paid Search,Mobile,Finland,Bing,13,13.0
Brand,Paid Search,Mobile,Germany,Bing,154,97.7
Brand,Paid Search,Mobile,Greece,Google,378,1982.7
Brand,Paid Search,Mobile,Netherlands,Google,7869,6866.2
Brand,Paid Search,Mobile,Norway,Bing,17,16.0
Brand,Paid Search,Mobile,Philippines,Google,3355,4851.0
Brand,Paid Search,Mobile,Singapore,Bing,66,111.7
Brand,Paid Search,Mobile,South Africa,Bing,96,97.2
Brand,Paid Search,Mobile,Sweden,Bing,36,33.9
Brand,Paid Search,Mobile,United States,Google,252029,206468.3
Brand,Paid Search,Tablet,Brazil,Bing,9,1363.2
Brand,Paid Search,Tablet,India,Google,965,2178.6
Brand,Paid Search,Tablet,Japan,Google,236,308.9
Brand,Paid Search,Tablet,Korea,Google,243,327.9
Brand,Paid Search,Tablet,Malaysia,Google,786,974.7
Brand,Paid Search,Tablet,South Africa,Bing,168,87.8
Brand,Paid Search,Tablet,United Kingdom,Bing,413,7235.4
Brand,Paid Search,Tablet,United States,Google,73947,73947.0
Non-Brand,Paid Search,Desktop,Arabic,Google,5334,5736.4
Non-Brand,Paid Search,Desktop,Finland,Bing,68,135.3
Non-Brand,Paid Search,Desktop,Germany,Bing,2419,5112.4
Non-Brand,Paid Search,Desktop,Japan,Google,2140,2288.0
Non-Brand,Paid Search,Desktop,Malaysia,Google,26749,23214.6
Non-Brand,Paid Search,Desktop,Netherlands,Google,34189,39576.3
Non-Brand,Paid Search,Desktop,Norway,Bing,69,196.2
Non-Brand,Paid Search,Desktop,Philippines,Google,40758,30113.1
Non-Brand,Paid Search,Desktop,Singapore,Bing,1908,1711.9
Non-Brand,Paid Search,Desktop,South Africa,Bing,116,3652.5
Non-Brand,Paid Search,Desktop,Sweden,Bing,237,341.7
Non-Brand,Paid Search,Desktop,United Kingdom,Bing,21540,24296.4
Non-Brand,Paid Search,Desktop,United States,Google,223694,429473.7
Non-Brand,Paid Search,Mobile,Asia and Pacific,Bing,357,330.7
Non-Brand,Paid Search,Mobile,Australia,Bing,325,272.3
Non-Brand,Paid Search,Mobile,Brazil,Google,26961,15695.4
Non-Brand,Paid Search,Mobile,Italy,Google,1104,1556.2
Non-Brand,Paid Search,Mobile,Netherlands,Bing,17,23.3
Non-Brand,Paid Search,Mobile,Philippines,Bing,452,327.2
Non-Brand,Paid Search,Mobile,Portugal,Google,16798,11978.9
Non-Brand,Paid Search,Mobile,Switzerland,Google,15,142.2
Non-Brand,Paid Search,Mobile,United Kingdom,Google,23777,32644.0
Non-Brand,Paid Search,Mobile,United States,Bing,14296,31468.8
Non-Brand,Paid Search,Mobile,Vietnam,Bing,435,268.5
Non-Brand,Paid Search,Tablet,Canada,Google,3320,3608.7
Non-Brand,Paid Search,Tablet,Germany,Bing,47,42.5
Non-Brand,Paid Search,Tablet,India,Bing,89,637.0
Non-Brand,Paid Search,Tablet,Japan,Bing,2,54.6
Non-Brand,Paid Search,Tablet,Malaysia,Bing,23,66.8
Non-Brand,Paid Search,Tablet,Norway,Bing,0,2.0
Non-Brand,Paid Search,Tablet,Sweden,Bing,0,1.1
Non-Brand,Paid Search,Tablet,United States,Bing,3220,6542.8
