Brand,Paid Search,Tablet,Philippines,Google,36,15.46,26.8
Brand,Paid Search,Tablet,Russia,Bing,7,3.36,14.7
Brand,Paid Search,Tablet,Turkey,Google,639,104.08,527.6
Brand,Paid Search,Tablet,Vietnam,Google,10,2.2,12.7
Non-Brand,Paid Search,Desktop,Australia,Google,3324,15446.87,4540.7
Non-Brand,Paid Search,Desktop,Denmark,Bing,0,0.0,0.0
Non-Brand,Paid Search,Desktop,France,Google,2592,5334.59,2355.2
Non-Brand,Paid Search,Desktop,Israel,Google,18,10.99,29.6
Non-Brand,Paid Search,Desktop,Rest of World,Google,12698,11354.87,11102.5
Non-Brand,Paid Search,Desktop,Spain,Bing,2231,145.92,1987.7
Non-Brand,Paid Search,Desktop,Thailand,Google,297,382.11,469.0
Non-Brand,Paid Search,Desktop,Turkey,Google,1184,619.73,762.5
Non-Brand,Paid Search,Mobile,Denmark,Google,112,96.05,108.2
Non-Brand,Paid Search,Mobile,France,Bing,20,7.15,23.3
Non-Brand,Paid Search,Mobile,India,Bing,54,8.88,54.6
Non-Brand,Paid Search,Mobile,Indonesia,Google,201,162.2,211.0
Non-Brand,Paid Search,Mobile,Japan,Bing,0,0.0,0.0
Non-Brand,Paid Search,Mobile,Korea,Bing,0,0.0,0.0
Non-Brand,Paid Search,Mobile,Malaysia,Bing,11,1.29,9.2
Non-Brand,Paid Search,Mobile,Russia,Google,366,173.42,276.1
Non-Brand,Paid Search,Mobile,Thailand,Bing,12,2.38,19.2
Non-Brand,Paid Search,Tablet,France,Bing,13,7.93,22.3
Non-Brand,Paid Search,Tablet,Israel,Google,1,0.83,5.0
Non-Brand,Paid Search,Tablet,Rest of World,Google,550,480.72,537.9
Non-Brand,Paid Search,Tablet,Russia,Google,154,99.89,89.6
Non-Brand,Paid Search,Tablet,Spain,Bing,16,1.05,239.8
Non-Brand,Paid Search,Tablet,Turkey,Bing,0,0.0,0.0
Non-Brand,Paid Search,Tablet,Vietnam,Bing,0,0.0,0.0
Brand,Paid Search,Desktop,Brazil,Google,7262,842.96,5438.4
Brand,Paid Search,Desktop,Japan,Bing,11822,7587.09,18217.6
Brand,Paid Search,Desktop,Malaysia,Google,2587,460.76,2047.9
Brand,Paid Search,Desktop,Netherlands,Google,8378,1981.13,7302.1
Brand,Paid Search,Desktop,Philippines,Google,1509,294.02,1397.4
Brand,Paid Search,Desktop,Portugal,Google,4018,732.05,3785.5
Brand,Paid Search,Desktop,United Kingdom,Google,71947,24411.19,46682.9
Brand,Paid Search,Desktop,United States,Bing,3949,3379.71,4373.7
Brand,Paid Search,Desktop,Vietnam,Google,625,108.87,670.1
Brand,Paid Search,Mobile,Australia,Bing,1,0.05,1.0
Brand,Paid Search,Mobile,Canada,Bing,12,1.62,12.5
Brand,Paid Search,Mobile,France,Google,1932,764.4,1922.0
Brand,Paid Search,Mobile,Italy,Bing,21,1.21,18.4
Brand,Paid Search,Mobile,Malaysia,Google,665,159.23,656.8
Brand,Paid Search,Mobile,Switzerland,Google,228,13.94,176.1
Brand,Paid Search,Mobile,Turkey,Bing,65,33.15,113.9
Brand,Paid Search,Tablet,Canada,Google,1364,550.3,1858.3
Brand,Paid Search,Tablet,Germany,Bing,4,2.15,7.5
Non-Brand,Paid Search,Desktop,Asia and Pacific,Bing,60,10.25,51.7
Non-Brand,Paid Search,Desktop,Brazil,Bing,900,86.5,752.1
Non-Brand,Paid Search,Desktop,Canada,Google,3464,21637.21,14291.7
Non-Brand,Paid Search,Desktop,India,Google,1359,1093.26,1157.7
Non-Brand,Paid Search,Desktop,Italy,Google,300,497.83,359.1
Non-Brand,Paid Search,Desktop,Philippines,Bing,167,38.2,192.3
Non-Brand,Paid Search,Desktop,Portugal,Bing,0,0.0,0.0
Non-Brand,Paid Search,Desktop,South Africa,Google,898,1392.04,805.9
Non-Brand,Paid Search,Desktop,Sweden,Google,880,1934.05,856.4
Non-Brand,Paid Search,Desktop,Vietnam,Bing,14,2.82,14.1
Non-Brand,Paid Search,Mobile,Canada,Google,1301,5246.76,1649.1
Non-Brand,Paid Search,Mobile,Finland,Google,17,10.29,29.8
Non-Brand,Paid Search,Mobile,Germany,Bing,8,7.53,18.1
Non-Brand,Paid Search,Mobile,Singapore,Google,85,131.36,137.9
Non-Brand,Paid Search,Mobile,South Africa,Google,554,559.92,585.4
Non-Brand,Paid Search,Mobile,Sweden,Google,89,107.77,104.2
Non-Brand,Paid Search,Tablet,Arabic,Google,16,18.2,19.8
Non-Brand,Paid Search,Tablet,Brazil,Bing,10,1.18,8.9
Non-Brand,Paid Search,Tablet,Canada,Bing,26,108.11,36.7
Non-Brand,Paid Search,Tablet,India,Google,35,18.85,29.3
Non-Brand,Paid Search,Tablet,Japan,Google,39,56.99,45.8
Non-Brand,Paid Search,Tablet,Philippines,Bing,7,1.47,17.2
Non-Brand,Paid Search,Tablet,Portugal,Bing,0,0.0,0.0
Non-Brand,Paid Search,Tablet,South Africa,Bing,0,0.0,0.0
Non-Brand,Paid Search,Tablet,United Kingdom,Bing,122,343.31,185.1
Brand,Paid Search,Desktop,Australia,Bing,169,260.56,458.9
Brand,Paid Search,Desktop,Canada,Bing,361,119.81,359.0
Brand,Paid Search,Desktop,Finland,Google,603,96.51,622.9
Brand,Paid Search,Desktop,Germany,Google,6252,2387.64,5787.5
Brand,Paid Search,Desktop,Italy,Bing,274,16.16,222.8
Brand,Paid Search,Desktop,Norway,Google,1071,166.21,864.8
Brand,Paid Search,Desktop,Singapore,Google,4029,481.22,2902.2
Brand,Paid Search,Desktop,South Africa,Google,3440,656.86,2571.5
Brand,Paid Search,Desktop,Sweden,Google,3040,389.99,2450.3
Brand,Paid Search,Mobile,Arabic,Google,500,59.79,519.6
Brand,Paid Search,Mobile,Canada,Google,2294,546.14,2194.1
Brand,Paid Search,Mobile,Germany,Bing,24,1.52,16.6
Brand,Paid Search,Mobile,Greece,Google,60,8.62,57.7
Brand,Paid Search,Mobile,Netherlands,Google,881,178.29,759.6
Brand,Paid Search,Mobile,Philippines,Google,224,58.61,255.8
Brand,Paid Search,Mobile,Singapore,Bing,6,0.65,9.3
Brand,Paid Search,Mobile,South Africa,Bing,0,0.0,0.0
Brand,Paid Search,Mobile,United States,Google,25803,10149.06,20489.0
Brand,Paid Search,Tablet,Brazil,Bing,1,0.02,2.7
Brand,Paid Search,Tablet,India,Google,79,12.29,70.0
Brand,Paid Search,Tablet,Japan,Google,13,15.24,17.6
Brand,Paid Search,Tablet,Korea,Google,59,7.82,52.7
Brand,Paid Search,Tablet,Malaysia,Google,96,11.38,76.6
Brand,Paid Search,Tablet,South Africa,Bing,0,0.0,0.0
Brand,Paid Search,Tablet,United Kingdom,Bing,10,5.1,24.6
Brand,Paid Search,Tablet,United States,Google,8862,6444.43,15345.6
Non-Brand,Paid Search,Desktop,Arabic,Google,154,128.67,143.1
Non-Brand,Paid Search,Desktop,Germany,Bing,97,101.1,244.6
Non-Brand,Paid Search,Desktop,Japan,Google,282,593.29,310.5
Non-Brand,Paid Search,Desktop,Malaysia,Google,582,918.18,585.4
Non-Brand,Paid Search,Desktop,Netherlands,Google,880,1912.29,880.0
Non-Brand,Paid Search,Desktop,Philippines,Google,655,811.71,668.8
Non-Brand,Paid Search,Desktop,Singapore,Bing,107,67.75,160.1
Non-Brand,Paid Search,Desktop,South Africa,Bing,1,0.19,1.4
Non-Brand,Paid Search,Desktop,United Kingdom,Bing,2589,8215.65,4867.5
Non-Brand,Paid Search,Desktop,United States,Google,13084,52048.38,55661.5
Non-Brand,Paid Search,Mobile,Asia and Pacific,Bing,11,1.04,10.5
Non-Brand,Paid Search,Mobile,Australia,Bing,14,23.73,45.0
Non-Brand,Paid Search,Mobile,Brazil,Google,2880,1546.6,2406.2
Non-Brand,Paid Search,Mobile,Italy,Google,49,39.12,83.6
Non-Brand,Paid Search,Mobile,Philippines,Bing,35,2.69,34.6
Non-Brand,Paid Search,Mobile,Portugal,Google,1877,230.17,1293.4
Non-Brand,Paid Search,Mobile,United Kingdom,Google,1936,5339.32,1837.5
Non-Brand,Paid Search,Mobile,United States,Bing,517,438.64,452.9
Non-Brand,Paid Search,Mobile,Vietnam,Bing,7,1.34,8.1
Non-Brand,Paid Search,Tablet,Canada,Google,475,2665.78,623.6
Non-Brand,Paid Search,Tablet,Germany,Bing,3,5.07,3.6
Non-Brand,Paid Search,Tablet,India,Bing,2,0.16,1.8
Non-Brand,Paid Search,Tablet,Japan,Bing,1,0.04,1.0
Non-Brand,Paid Search,Tablet,Malaysia,Bing,1,0.07,1.0
Non-Brand,Paid Search,Tablet,United States,Bing,90,189.66,111.7
Brand,Paid Search,Desktop,Canada,Google,18551,7432.29,20909.2
Brand,Paid Search,Desktop,Germany,Bing,1083,279.18,931.8
Brand,Paid Search,Desktop,Greece,Google,401,68.33,548.4
Brand,Paid Search,Desktop,India,Bing,20,0.87,16.9
Brand,Paid Search,Desktop,Italy,Google,2861,794.54,3005.8
Brand,Paid Search,Desktop,Japan,Google,195,294.04,563.2
Brand,Paid Search,Desktop,Korea,Google,696,77.8,688.0
Brand,Paid Search,Desktop,Russia,Google,1521,336.53,1637.2
Brand,Paid Search,Desktop,South Africa,Bing,1,0.51,2.1
Brand,Paid Search,Desktop,Vietnam,Bing,6,0.28,6.8
Brand,Paid Search,Mobile,Brazil,Google,1057,118.13,949.7
Brand,Paid Search,Mobile,China,Google,397,71.66,455.3
Brand,Paid Search,Mobile,Singapore,Google,915,214.34,759.2
Brand,Paid Search,Mobile,United Kingdom,Google,6733,1925.49,6059.4
Brand,Paid Search,Mobile,United States,Bing,128,65.67,168.7
Brand,Paid Search,Tablet,Brazil,Google,127,20.47,136.6
Brand,Paid Search,Tablet,India,Bing,0,0.0,0.0
Brand,Paid Search,Tablet,Indonesia,Google,40,21.41,36.3
Brand,Paid Search,Tablet,Italy,Google,184,39.26,245.0
Brand,Paid Search,Tablet,Japan,Bing,168,184.83,188.2
Brand,Paid Search,Tablet,Korea,Bing,53,152.04,112.3
Brand,Paid Search,Tablet,Switzerland,Google,19,0.64,10.7
Brand,Paid Search,Tablet,United Kingdom,Google,4263,2191.28,5445.6
Brand,Paid Search,Tablet,United States,Bing,69,110.75,90.4
Brand,Paid Search,Unknown,United States,Bing,0,0.0,0.0
Non-Brand,Paid Search,Desktop,Finland,Google,156,222.61,169.4
Non-Brand,Paid Search,Desktop,Japan,Bing,7,0.65,6.5
Non-Brand,Paid Search,Desktop,Korea,Bing,5,7.19,18.0
Non-Brand,Paid Search,Desktop,Portugal,Google,4821,1182.71,4025.2
Non-Brand,Paid Search,Mobile,Australia,Google,530,1975.54,789.1
Non-Brand,Paid Search,Mobile,Brazil,Bing,440,21.09,305.3
Non-Brand,Paid Search,Mobile,Indonesia,Bing,103,14.98,98.9
Non-Brand,Paid Search,Mobile,Korea,Google,1056,429.75,860.0
Non-Brand,Paid Search,Mobile,Philippines,Google,205,179.24,216.4
Non-Brand,Paid Search,Mobile,Turkey,Google,721,288.57,767.3
Non-Brand,Paid Search,Mobile,United Kingdom,Bing,117,167.77,175.7
Non-Brand,Paid Search,Mobile,Vietnam,Google,272,91.35,183.6
Non-Brand,Paid Search,Tablet,Finland,Google,16,27.72,37.0
Non-Brand,Paid Search,Tablet,Italy,Bing,1,0.38,2.5
Non-Brand,Paid Search,Tablet,Russia,Bing,0,0.0,0.0
